family,weight,job,status_accuracy_percent,power_mae_mw,cost_gap_percent,ai_average_daily_cost,cost_delta_vs_30714,false_on_rate_percent,false_off_rate_percent,false_on_count_per_day,false_off_count_per_day,online_hours_true,online_hours_pred,online_hours_delta,startup_count_true,startup_count_pred,startup_count_delta,shutdown_count_true,shutdown_count_pred,shutdown_count_delta,startup_event_mae,shutdown_event_mae,transition_event_mae,mismatch_max_mw,mismatch_over_10mw_percent
baseline,0.0,30714,78.10046296296295,12.9176607131958,4.312351202822442,979891.125,0.0,21.29157257080078,0.6077005863189697,275.9388122558594,7.875800132751465,431.24859619140625,699.3115844726562,268.06298828125,15.148799896240234,10.479000091552734,-4.6697998046875,21.305999755859375,6.048799991607666,-15.257199764251709,0.0088217593729496,0.01766975224018097,0.02649151161313057,0.00048828125,0.0
asym_bce,0.5,39104,77.89719135802468,12.605411529541016,4.37519174015195,980481.4375,590.3125,21.39661979675293,0.7077623605728149,277.3002014160156,9.172599792480469,431.24859619140625,699.376220703125,268.12762451171875,15.148799896240234,10.156200408935547,-4.9925994873046875,21.305999755859375,5.467199802398682,-15.838799953460693,0.008903549052774906,0.017665432766079903,0.02656898181885481,0.00048828125,0.0
asym_bce,1.0,40234,76.44658950617284,12.326760292053223,4.788628583948205,984365.1875,4474.0625,22.703472137451172,0.8501079678535461,294.23699951171875,11.017399787902832,431.24859619140625,714.4682006835938,283.2196044921875,15.148799896240234,10.004599571228027,-5.144200325012207,21.305999755859375,4.355199813842773,-16.9507999420166,0.009152314625680447,0.01733333244919777,0.026485647074878216,0.00048828125,0.0
asym_bce,1.5,41987,77.32123456790123,12.62833309173584,4.591810291170915,982516.3125,2625.1875,21.976604461669922,0.7021142244338989,284.8168029785156,9.09939956665039,431.24859619140625,706.9660034179688,275.7174072265625,15.148799896240234,10.394399642944336,-4.754400253295898,21.305999755859375,5.4415998458862305,-15.864399909973145,0.008707098662853241,0.0178212970495224,0.02652839571237564,0.00048828125,0.0
transition,0.5,42010,77.83865740740741,12.86391830444336,4.377327453490517,980501.5,610.375,21.4543514251709,0.7079474925994873,278.04840087890625,9.175000190734863,431.24859619140625,700.1220092773438,268.8734130859375,15.148799896240234,10.402000427246094,-4.746799468994141,21.305999755859375,5.638999938964844,-15.666999816894531,0.009054630063474178,0.017904166132211685,0.026958796195685863,0.00048828125,0.0
transition,1.0,42043,78.21365740740741,12.83188533782959,4.296529625504329,979742.5,-148.625,21.216943740844727,0.5694752931594849,274.9715881347656,7.38040018081665,431.24859619140625,698.8397827148438,267.5911865234375,15.148799896240234,10.687000274658203,-4.461799621582031,21.305999755859375,6.117199897766113,-15.188799858093262,0.0088344132527709,0.017957407981157303,0.026791821233928204,0.00048828125,0.0
transition,1.5,42059,78.05118827160494,12.864544868469238,4.354686230776667,980288.8125,397.6875,21.233333587646484,0.7151234149932861,275.1839904785156,9.267999649047852,431.24859619140625,697.1646118164062,265.916015625,15.148799896240234,10.117400169372559,-5.031399726867676,21.305999755859375,5.616600036621094,-15.689399719238281,0.008970833383500576,0.017677005380392075,0.02664783876389265,0.00048828125,0.0
transition,2.0,42060,77.12057098765432,12.586112022399902,4.751616206058946,984017.5,4126.375,21.969999313354492,0.9094290733337402,284.731201171875,11.786199569702148,431.24859619140625,704.193603515625,272.94500732421875,15.148799896240234,9.644399642944336,-5.504400253295898,21.305999755859375,4.629199981689453,-16.676799774169922,0.009262037463486195,0.017056789249181747,0.026318826712667942,0.00048828125,0.0
transition,5.0,42061,78.27513888888889,12.377291679382324,4.2669223845179545,979464.375,-426.75,20.92103385925293,0.8040123581886292,271.1365966796875,10.420000076293945,431.24859619140625,691.9652099609375,260.71661376953125,15.148799896240234,10.649999618530273,-4.498800277709961,21.305999755859375,6.0046000480651855,-15.30139970779419,0.009674999862909317,0.017530709505081177,0.027205709367990494,0.00048828125,0.0
transition,10.0,42062,74.2725,14.116575241088867,4.928561054156168,985679.6875,5788.5625,24.676742553710938,1.0507560968399048,319.81060791015625,13.617799758911133,431.24859619140625,737.44140625,306.19281005859375,15.148799896240234,14.218600273132324,-0.9301996231079102,21.305999755859375,6.1092000007629395,-15.196799755096436,0.01360293198376894,0.018003085628151894,0.031606017611920834,0.00048828125,0.0
online_hours,0.05,42765,77.00251543209876,13.028914451599121,4.636753417656974,982938.5,3047.375,22.457839965820312,0.5395987629890442,291.0535888671875,6.993199825286865,431.24859619140625,715.3090209960938,284.0604248046875,15.148799896240234,11.0556001663208,-4.093199729919434,21.305999755859375,5.551000118255615,-15.75499963760376,0.009034567512571812,0.017692746594548225,0.026727314107120037,0.00048828125,0.0
online_hours,0.1,58498,77.57484567901236,12.948779106140137,4.456781312335301,981247.875,1356.75,21.888225555419922,0.5368363857269287,283.67138671875,6.957399845123291,431.24859619140625,707.9625854492188,276.7139892578125,15.148799896240234,10.667200088500977,-4.481599807739258,21.305999755859375,5.626399993896484,-15.67959976196289,0.00878271646797657,0.017521604895591736,0.026304321363568306,0.00048828125,0.0
online_hours,0.2,58816,78.33475308641975,12.736084938049316,4.229025116055395,979108.375,-782.75,21.0855712890625,0.5799999833106995,273.2690124511719,7.5167999267578125,431.24859619140625,697.0007934570312,265.752197265625,15.148799896240234,10.587200164794922,-4.5615997314453125,21.305999755859375,6.347799777984619,-14.958199977874756,0.008638888597488403,0.0176862645894289,0.026325153186917305,0.00048828125,0.0
online_hours,0.3,59479,78.06723765432099,12.70018482208252,4.3275340621327585,980033.75,142.625,21.2247371673584,0.7101234793663025,275.0726013183594,9.203200340270996,431.24859619140625,697.1179809570312,265.869384765625,15.148799896240234,10.388199806213379,-4.7606000900268555,21.305999755859375,5.891200065612793,-15.414799690246582,0.008732561953365803,0.017625000327825546,0.02635756228119135,0.00048828125,0.0
online_hours,0.5,59629,77.8965586419753,12.817878723144531,4.372463881993655,980455.8125,564.6875,21.485355377197266,0.6179166436195374,278.4501953125,8.008199691772461,431.24859619140625,701.6906127929688,270.4420166015625,15.148799896240234,10.540399551391602,-4.608400344848633,21.305999755859375,5.885000228881836,-15.420999526977539,0.008747531101107597,0.017533179372549057,0.026280710473656654,0.00048828125,0.0
online_hours,1.0,59673,76.71828703703703,13.238665580749512,4.724736823230866,983765.0,3873.875,22.844274520874023,0.43736109137535095,296.0617980957031,5.6682000160217285,431.24859619140625,721.6422119140625,290.39361572265625,15.148799896240234,11.992199897766113,-3.156599998474121,21.305999755859375,6.686200141906738,-14.619799613952637,0.00869027804583311,0.017905091866850853,0.026595369912683964,0.00048828125,0.0
