Generator,Bus,MaxProd,MinProd,IniProd,IniState,SUcap,SDcap,RampUp,RampDw,FuelCost,SlopeVarCost,InterVarCost,OMVarCost,MinTU,MinTD,SDduration,ShutdownCost,SUduration1,DownTtimeforSU1,SUcost1
gen01,4,30,5,30,5,5,5,5,5,1.00,27.08,26.55,0.00,5,4,1,0,1,4,40
gen02,6,30,5,30,5,5,5,5,5,1.00,31.30,25.85,0.00,5,4,1,0,1,4,40
gen03,8,30,5,30,5,5,5,5,5,1.00,27.90,26.10,0.00,5,4,1,0,1,4,40
gen04,10,300,150,0,-13,150,150,150,150,1.00,12.06,8.05,0.00,1,13,2,0,4,13,440
gen05,12,300,100,300,2,100,100,100,100,1.00,11.04,7.82,0.00,2,13,2,0,4,13,110
gen06,15,30,10,30,2,10,10,10,10,1.00,28.51,28.87,0.00,2,4,1,0,1,4,40
gen07,18,100,25,0,-7,25,25,25,25,1.00,14.64,12.26,0.00,3,7,1,0,2,7,50
gen08,19,30,5,30,5,5,5,5,5,1.00,30.45,28.51,0.00,5,4,1,0,1,4,40
gen09,24,30,5,30,5,5,5,5,5,1.00,26.44,26.38,0.00,5,4,1,0,1,4,40
gen10,25,300,100,300,2,100,100,100,100,1.00,11.72,7.12,0.00,2,13,2,0,4,13,100
gen11,26,350,100,300,2.5,100,100,100,100,1.00,10.11,35.59,0.00,3,13,2,0,4,13,100
gen12,27,30,8,0,-4,8,8,8,8,1.00,29.17,29.49,0.00,3,4,1,0,1,4,40
gen13,31,30,8,0,-4,8,8,8,8,1.00,30.89,27.62,0.00,3,4,1,0,1,4,40
gen14,32,100,25,0,-7,25,25,25,25,1.00,14.13,11.96,0.00,3,7,1,0,2,7,50
gen15,34,30,8,30,2.75,8,8,8,8,1.00,29.76,27.95,0.00,3,4,1,0,1,4,40
gen16,36,100,25,0,-7,25,25,25,25,1.00,16.76,11.61,0.00,3,7,1,0,2,7,50
gen17,40,30,8,0,-4,8,8,8,8,1.00,26.76,29.17,0.00,3,4,1,0,1,4,40
gen18,42,30,8,0,-4,8,8,8,8,1.00,28.10,27.25,0.00,3,4,1,0,1,4,40
gen19,46,100,25,0,-7,25,25,25,25,1.00,14.85,10.64,0.00,3,7,1,0,2,7,59
gen20,49,250,50,0,-13,50,50,50,50,1.00,10.83,30.48,0.00,4,13,2,0,4,13,100
gen21,54,250,50,50,4,50,50,50,50,1.00,10.60,30.74,0.00,4,13,2,0,4,13,100
gen22,55,100,25,0,-7,25,25,25,25,1.00,15.37,12.59,0.00,3,7,1,0,2,7,50
gen23,56,100,25,0,-7,25,25,25,25,1.00,15.19,11.87,0.00,3,7,1,0,2,7,50
gen24,59,200,50,0,-13,50,50,50,50,1.00,11.31,43.01,0.00,3,13,2,0,4,13,100
gen25,61,200,50,0,-13,50,50,50,50,1.00,13.01,39.49,0.00,3,13,2,0,4,13,100
gen26,62,100,25,0,-7,25,25,25,25,1.00,15.34,12.12,0.00,3,7,1,0,2,7,50
gen27,65,420,100,100,3.2,100,100,100,100,1.00,7.93,72.78,0.00,3,15,2,0,5,15,250
gen28,66,420,100,100,3.2,100,100,100,100,1.00,8.28,69.33,0.00,3,15,2,0,5,15,250
gen29,69,300,80,0,-13,80,80,80,80,1.00,10.99,7.91,0.00,3,13,2,0,4,13,100
gen30,70,80,30,80,1.666666667,30,30,30,30,1.00,17.83,66.83,0.00,2,7,1,0,2,7,45
gen31,72,30,10,0,-4,10,10,10,10,1.00,29.59,29.35,0.00,2,4,1,0,1,4,40
gen32,73,30,5,0,-4,5,5,5,5,1.00,30.83,27.59,0.00,5,4,1,0,1,4,40
gen33,74,20,5,0,-4,5,5,5,5,1.00,43.75,15.75,0.00,3,4,1,0,1,4,30
gen34,76,100,25,25,3,25,25,25,25,1.00,15.09,11.94,0.00,3,7,1,0,2,7,50
gen35,77,100,25,25,3,25,25,25,25,1.00,15.18,11.93,0.00,3,7,1,0,2,7,50
gen36,80,300,150,0,-13,150,150,150,150,1.00,12.28,8.22,0.00,1,13,2,0,4,13,440
gen37,82,100,25,25,3,25,25,25,25,1.00,14.73,11.73,0.00,3,7,1,0,2,7,50
gen38,85,30,10,0,-4,10,10,10,10,1.00,29.44,29.17,0.00,2,4,1,0,1,4,40
gen39,87,300,100,100,2,100,100,100,100,1.00,10.17,35.29,0.00,2,13,2,0,4,13,440
gen40,89,200,50,50,3,50,50,50,50,1.00,11.14,7.73,0.00,3,13,2,0,4,13,400
gen41,90,20,8,0,-4,8,8,8,8,1.00,44.87,15.22,0.00,2,4,1,0,1,4,30
gen42,91,50,20,40,1.5,20,20,20,20,1.00,23.87,48.05,0.00,2,4,1,0,1,4,45
gen43,92,300,100,100,2,100,100,100,100,1.00,12.65,7.28,0.00,2,13,2,0,4,13,100
gen44,99,300,100,100,2,100,100,100,100,1.00,11.17,7.92,0.00,2,13,2,0,4,13,100
gen45,100,300,100,100,2,100,100,100,100,1.00,12.10,7.41,0.00,2,13,2,0,4,13,110
gen46,103,20,8,0,-4,8,8,8,8,1.00,40.36,16.74,0.00,2,4,1,0,1,4,30
gen47,104,100,25,0,-7,25,25,25,25,1.00,14.73,11.24,0.00,3,7,1,0,2,7,50
gen48,105,100,25,0,-7,25,25,25,25,1.00,15.41,11.25,0.00,3,7,1,0,2,7,50
gen49,107,20,8,0,-4,8,8,8,8,1.00,40.55,15.77,0.00,2,4,1,0,1,4,30
gen50,110,50,25,40,1,25,25,25,25,1.00,25.28,48.88,0.00,1,4,1,0,1,4,45
gen51,111,100,25,0,-7,25,25,25,25,1.00,15.01,11.18,0.00,3,7,1,0,2,7,50
gen52,112,100,25,0,-7,25,25,25,25,1.00,15.01,10.93,0.00,3,7,1,0,2,7,50
gen53,113,100,25,0,-7,25,25,25,25,1.00,16.22,12.04,0.00,3,7,1,0,2,7,50
gen54,116,50,25,50,1,25,25,25,25,1.00,26.73,50.68,0.00,1,4,1,0,1,4,45
